(second, ((avg best buy, avg best ask), (#crossings best buy, #crossings best ask)))
(u'131834', ((539.45333333333338, 360.00666666666666), (1, 2)))
(u'131835', ((538.99666666666656, 360.05333333333328), (1, 1)))
(u'131836', ((538.47399999999993, 432.39600000000002), (3, 2)))
(u'131837', ((539.87, 539.98000000000002), (0, 0)))
(u'131838', ((539.20833333333337, 270.13333333333338), (3, 4)))
(u'131839', ((539.1782352941176, 476.60882352941184), (6, 4)))
(u'131840', ((539.59160714285724, 443.86482142857147), (19, 14)))
(u'131841', ((539.62812499999995, 389.32093749999996), (12, 14)))
(u'131842', ((539.30999999999995, 270.1925), (3, 2)))
(u'131843', ((539.844074074074, 460.65000000000003), (14, 12)))
(u'131844', ((539.71124999999995, 518.02875000000006), (8, 2)))
(u'131845', ((540.10833333333335, 540.64499999999987), (18, 18)))
(u'131846', ((510.10166666666669, 540.61777777777786), (2, 6)))
(u'131847', ((540.08687499999996, 540.5859375), (8, 6)))
(u'131848', ((540.2071428571428, 540.51285714285711), (4, 2)))
(u'131849', ((521.9429032258065, 540.45903225806467), (3, 12)))
(u'131850', ((540.06214285714282, 540.45999999999992), (6, 6)))
(u'131851', ((540.06000000000006, 540.61666666666667), (3, 2)))
(u'131852', ((540.1155555555556, 540.62333333333345), (2, 2)))
(u'131853', ((506.33937500000002, 540.62187499999993), (2, 5)))
(u'131854', ((540.05599999999993, 541.04200000000003), (2, 2)))
(u'131856', ((540.13, 541.22000000000003), (0, 0)))
(u'131857', ((540.04333333333341, 540.65333333333331), (2, 1)))
(u'131858', ((270.065, 540.77500000000009), (1, 1)))
(u'131900', ((539.31999999999994, 541.47000000000003), (1, 1)))
(u'131901', ((539.18000000000006, 540.94428571428557), (5, 2)))
(u'131902', ((477.53444444444449, 540.79999999999984), (2, 4)))
(u'131904', ((450.00666666666666, 540.98333333333346), (2, 2)))
(u'131905', ((540.09000000000003, 541.08000000000004), (1, 2)))
(u'131906', ((538.75666666666655, 541.11380952380955), (6, 9)))
(u'131907', ((517.48000000000013, 540.9616666666667), (2, 8)))
(u'131908', ((540.13111111111118, 540.39333333333332), (5, 4)))
(u'131909', ((540.18200000000002, 540.38800000000003), (1, 2)))
(u'131910', ((508.43235294117648, 540.55705882352936), (2, 6)))
(u'131911', ((498.65538461538472, 540.51923076923072), (2, 5)))
(u'131912', ((540.17250000000001, 540.36750000000006), (2, 3)))
(u'131913', ((540.2166666666667, 540.495), (1, 1)))
(u'131914', ((540.22777777777765, 540.36111111111109), (4, 6)))
(u'131915', ((540.19952380952373, 472.01650793650782), (6, 16)))
(u'131916', ((540.17999999999995, 540.72826086956525), (6, 9)))
(u'131917', ((525.36815789473656, 391.5490789473684), (6, 28)))
(u'131918', ((539.976, 325.11599999999999), (2, 5)))
(u'131919', ((540.21857142857141, 232.22571428571428), (2, 6)))
(u'131920', ((540.19239999999991, 389.6764), (11, 5)))
(u'131921', ((540.27611111111105, 420.88388888888892), (6, 6)))
(u'131922', ((540.39666666666653, 480.75111111111102), (5, 1)))
(u'131923', ((540.41000000000008, 432.488), (3, 1)))
(u'131924', ((463.21571428571423, 309.45142857142855), (2, 1)))
(u'131925', ((498.63846153846157, 333.1476923076923), (2, 8)))
(u'131926', ((506.40562500000004, 270.40625), (2, 8)))
(u'131927', ((424.58500000000004, 193.095), (5, 10)))
(u'131928', ((540.44000000000005, 0.0), (0, 0)))
(u'131929', ((529.0597959183674, 297.8304081632653), (2, 20)))
(u'131930', ((540.1476923076923, 207.82307692307691), (4, 4)))
(u'131931', ((540.10399999999993, 396.26466666666659), (4, 7)))
(u'131932', ((539.86541666666665, 383.95166666666665), (11, 8)))
(u'131933', ((539.8431250000001, 236.41750000000005), (9, 6)))
(u'131934', ((539.84750000000008, 405.54250000000002), (3, 3)))
(u'131935', ((540.19555555555542, 480.48333333333329), (4, 4)))
(u'131936', ((539.8919047619047, 334.74333333333334), (7, 10)))
(u'131937', ((534.52250000000004, 405.57249999999999), (2, 1)))
(u'131938', ((539.97230769230771, 353.87499999999994), (11, 12)))
(u'131939', ((540.1261538461539, 332.98307692307691), (6, 9)))
(u'131940', ((540.13357142857137, 386.31857142857137), (4, 6)))
(u'131941', ((540.03478260869565, 329.29086956521735), (8, 12)))
(u'131942', ((513.07499999999982, 432.58850000000001), (2, 4)))
(u'131943', ((540.25888888888892, 540.87777777777785), (2, 2)))
(u'131944', ((540.20615384615394, 416.02092307692328), (16, 24)))
(u'131945', ((540.15842105263164, 341.5868421052632), (6, 12)))
(u'131946', ((468.34833333333336, 306.38833333333332), (6, 12)))
(u'131947', ((486.39800000000002, 324.59499999999997), (2, 6)))
(u'131948', ((540.40199999999993, 324.45999999999998), (3, 1)))
(u'131949', ((498.71846153846161, 374.36923076923085), (2, 6)))
(u'131950', ((540.55999999999995, 0.0), (0, 0)))
(u'131951', ((540.36133333333328, 252.33333333333337), (8, 5)))
(u'131952', ((540.23291666666671, 281.58354166666669), (12, 17)))
(u'131953', ((540.25365853658536, 395.76243902439018), (19, 13)))
(u'131954', ((520.44814814814799, 320.5418518518519), (2, 10)))
(u'131955', ((540.3042857142857, 231.73285714285717), (5, 4)))
(u'131956', ((540.30787878787874, 278.58030303030301), (10, 14)))
(u'131957', ((540.15888888888901, 360.77944444444438), (4, 6)))
(u'131958', ((540.39090909090908, 368.82409090909096), (8, 9)))
(u'131959', ((486.30799999999999, 433.07399999999996), (2, 4)))
(u'132000', ((539.98666666666668, 360.44499999999994), (4, 1)))
(u'132001', ((530.22870967741926, 378.76244239631376), (8, 81)))
(u'132002', ((521.54965517241385, 242.80965517241378), (1, 14)))
(u'132003', ((510.98297297297296, 504.24675675675678), (8, 10)))
(u'132004', ((539.98833333333334, 451.34166666666664), (3, 2)))
(u'132005', ((492.28244444444437, 504.69888888888892), (8, 4)))
(u'132006', ((450.31333333333333, 540.99833333333333), (2, 1)))
(u'132007', ((525.61918918918923, 540.81270270270261), (2, 8)))
(u'132008', ((540.34181818181821, 540.79090909090894), (5, 3)))
(u'132009', ((540.17461538461532, 499.25076923076927), (4, 2)))
(u'132010', ((540.24857142857149, 540.72000000000003), (2, 1)))
(u'132011', ((540.27999999999997, 541.22000000000003), (4, 2)))
(u'132012', ((540.35000000000002, 540.68000000000006), (1, 1)))
(u'132013', ((517.88541666666674, 540.72958333333338), (2, 4)))
(u'132014', ((540.39735294117645, 493.19470588235293), (10, 4)))
(u'132015', ((415.17999999999989, 541.12153846153831), (6, 7)))
(u'132017', ((514.39952380952388, 515.3795238095239), (2, 2)))
(u'132018', ((539.7349999999999, 541.74000000000001), (1, 1)))
(u'132019', ((431.95600000000002, 541.36400000000003), (2, 3)))
(u'132020', ((540.10611111111109, 540.82777777777778), (6, 5)))
(u'132021', ((540.01681818181805, 540.77500000000009), (4, 6)))
(u'132022', ((537.03899999999999, 541.30399999999997), (2, 5)))
(u'132023', ((540.08666666666659, 540.76166666666666), (2, 2)))
(u'132025', ((449.87000000000006, 540.9283333333334), (2, 2)))
(u'132026', ((540.35045454545445, 541.005), (7, 10)))
(u'132027', ((540.39073170731695, 541.08414634146357), (12, 20)))
(u'132028', ((540.39857142857124, 540.78071428571434), (12, 6)))
(u'132031', ((506.38187499999987, 540.90437499999996), (2, 6)))
(u'132032', ((432.31800000000004, 541.15999999999997), (2, 2)))
(u'132033', ((540.05499999999995, 540.70749999999998), (4, 2)))
(u'132034', ((0.0, 541.51999999999998), (0, 0)))
(u'132035', ((539.75571428571425, 541.52571428571423), (5, 3)))
(u'132038', ((485.66199999999992, 541.50800000000004), (2, 3)))
(u'132039', ((540.11899999999991, 541.62899999999991), (2, 5)))
(u'132040', ((540.42999999999995, 541.51999999999998), (0, 0)))
(u'132041', ((540.4325, 540.70249999999999), (1, 3)))
(u'132042', ((540.33545454545447, 344.20272727272726), (3, 5)))
(u'132043', ((539.928, 108.14400000000001), (4, 1)))
(u'132044', ((483.61631578947373, 313.02315789473681), (4, 8)))
(u'132045', ((540.13999999999987, 406.15999999999997), (1, 1)))
(u'132046', ((540.49000000000001, 450.58166666666665), (1, 2)))
(u'132047', ((540.45600000000002, 540.76900000000001), (4, 2)))
(u'132048', ((540.39153846153852, 374.33230769230772), (2, 6)))
(u'132049', ((540.11833333333323, 270.33999999999997), (3, 5)))
(u'132050', ((540.06500000000005, 360.80916666666667), (8, 3)))
(u'132051', ((540.54857142857156, 308.95142857142855), (2, 1)))
(u'132052', ((501.55452380952386, 424.95499999999981), (6, 12)))
(u'132053', ((508.41588235294125, 461.18941176470588), (3, 10)))
(u'132054', ((456.87076923076921, 332.64538461538461), (4, 8)))
(u'132055', ((536.71571428571428, 463.74571428571431), (1, 2)))
(u'132056', ((392.75636363636363, 393.46454545454543), (4, 6)))
(u'132057', ((539.93333333333339, 541.18666666666661), (1, 1)))
(u'132058', ((449.45333333333332, 540.89166666666665), (2, 1)))
(u'132059', ((540.39999999999998, 540.6099999999999), (0, 1)))
(u'132100', ((540.37, 540.53999999999996), (1, 0)))
(u'132101', ((476.53117647058809, 349.97117647058815), (1, 9)))
(u'132102', ((431.74599999999998, 541.55799999999999), (2, 1)))
(u'132103', ((385.34000000000003, 463.71571428571434), (4, 2)))
(u'132104', ((540.27777777777771, 360.34444444444438), (3, 3)))
(u'132105', ((299.76222222222219, 480.71111111111117), (6, 2)))
(u'132106', ((215.86199999999999, 432.38400000000001), (3, 2)))
(u'132108', ((456.07153846153841, 395.00307692307695), (4, 6)))
(u'132109', ((520.71142857142854, 482.59785714285709), (2, 6)))
(u'132110', ((485.8660000000001, 378.55799999999999), (4, 10)))
(u'132111', ((515.44545454545448, 417.61454545454546), (2, 9)))
(u'132112', ((539.76900000000012, 468.34366666666676), (9, 8)))
(u'132113', ((515.25, 417.60727272727269), (2, 8)))
(u'132114', ((539.77564102564088, 484.9802564102564), (15, 8)))
(u'132115', ((539.66928571428571, 424.75857142857149), (7, 3)))
(u'132116', ((539.44758620689663, 410.25206896551714), (20, 12)))
(u'132117', ((539.87666666666667, 450.61166666666668), (3, 2)))
(u'132118', ((539.88090909090909, 491.27636363636356), (3, 2)))
(u'132119', ((539.72814814814808, 440.31518518518504), (11, 9)))
(u'132120', ((539.77999999999997, 324.18199999999996), (1, 3)))
(u'132121', ((540.03000000000009, 540.39666666666665), (2, 3)))
(u'132123', ((539.62, 540.38999999999999), (1, 1)))
(u'132124', ((539.55375000000004, 540.33375000000001), (3, 4)))
(u'132125', ((539.50333333333344, 540.36222222222227), (3, 5)))
(u'132126', ((539.15999999999997, 540.30999999999995), (0, 0)))
(u'132127', ((539.90375000000006, 270.16874999999999), (3, 5)))
(u'132128', ((537.44299999999998, 432.36299999999994), (2, 3)))
(u'132129', ((539.8175, 473.16124999999994), (5, 2)))
(u'132130', ((539.21499999999992, 540.30999999999995), (1, 0)))
(u'132131', ((404.64999999999998, 540.35000000000002), (2, 1)))
(u'132132', ((539.78999999999996, 540.67166666666662), (1, 1)))
(u'132133', ((540.16999999999996, 540.40999999999997), (0, 2)))
(u'132134', ((539.43058823529418, 540.43764705882325), (6, 2)))
(u'132135', ((539.40999999999997, 540.67166666666662), (2, 2)))
(u'132137', ((539.9849999999999, 541.39499999999998), (1, 1)))
(u'132138', ((539.5333333333333, 540.33333333333337), (1, 1)))
(u'132140', ((539.80700000000002, 540.76199999999994), (4, 4)))
(u'132141', ((539.65750000000003, 473.04000000000002), (5, 2)))
(u'132142', ((540.07749999999987, 540.84500000000003), (1, 2)))
(u'132143', ((539.60950000000014, 513.31949999999995), (7, 2)))
(u'132144', ((539.53066666666678, 540.29933333333315), (8, 6)))
(u'132145', ((539.64857142857147, 463.54142857142858), (1, 1)))
(u'132146', ((540.14999999999998, 541.17999999999995), (0, 0)))
(u'132147', ((539.62285714285713, 540.71499999999992), (8, 6)))
(u'132148', ((528.08866666666665, 456.61955555555556), (2, 10)))
(u'132149', ((468.05600000000015, 396.92799999999988), (4, 4)))
(u'132150', ((540.38999999999999, 270.25), (0, 1)))
(u'132151', ((540.18374999999992, 540.74250000000006), (2, 1)))
(u'132152', ((472.48062500000003, 473.54374999999999), (4, 4)))
(u'132153', ((360.25999999999999, 540.84000000000003), (1, 2)))
(u'132154', ((540.19916666666666, 360.74416666666667), (5, 7)))
(u'132155', ((540.21999999999991, 540.76499999999999), (3, 1)))
(u'132156', ((540.11333333333334, 540.65333333333331), (1, 1)))
(u'132157', ((539.95333333333326, 540.63999999999999), (1, 1)))
(u'132158', ((540.39499999999998, 540.61000000000001), (1, 0)))
(u'132159', ((539.71499999999992, 540.58000000000004), (1, 0)))
(u'132200', ((432.37600000000003, 540.94600000000003), (2, 2)))
(u'132201', ((540.28600000000017, 540.69733333333329), (6, 4)))
(u'132202', ((540.44000000000005, 540.53999999999996), (0, 1)))
(u'132203', ((540.18437500000005, 541.04562499999997), (5, 6)))
(u'132204', ((540.09636363636344, 417.91954545454541), (8, 4)))
(u'132205', ((540.15499999999986, 393.46136363636361), (7, 6)))
(u'132206', ((404.88, 405.70000000000005), (1, 1)))
(u'132207', ((539.755, 541.58500000000004), (1, 1)))
(u'132208', ((540.4114285714287, 309.14357142857142), (5, 8)))
(u'132209', ((540.38199999999995, 432.61800000000005), (2, 2)))
(u'132210', ((540.51666666666665, 180.21333333333334), (1, 1)))
(u'132211', ((540.18499999999995, 270.59500000000003), (4, 6)))
(u'132212', ((540.08999999999992, 270.76999999999998), (1, 3)))
(u'132213', ((432.33199999999999, 324.43399999999997), (2, 1)))
(u'132214', ((360.04333333333335, 180.20000000000002), (1, 1)))
(u'132215', ((540.40880000000004, 389.3900000000001), (8, 6)))
(u'132216', ((540.24500000000012, 405.82649999999995), (8, 6)))
(u'132217', ((540.53999999999996, 540.63999999999999), (0, 0)))
(u'132218', ((540.53999999999996, 540.63999999999999), (0, 0)))
(u'132219', ((405.02499999999998, 270.33249999999998), (2, 2)))
(u'132220', ((359.8533333333333, 361.03999999999996), (2, 1)))
(u'132221', ((540.54999999999995, 540.68499999999995), (1, 1)))
(u'132222', ((540.57000000000005, 540.66250000000002), (0, 2)))
(u'132223', ((540.31000000000006, 541.10000000000002), (1, 2)))
(u'132225', ((540.19759999999997, 454.2276), (10, 5)))
(u'132226', ((540.25999999999999, 549.14666666666665), (2, 1)))
(u'132227', ((540.41999999999996, 540.56500000000005), (0, 1)))
(u'132229', ((472.48000000000002, 405.79500000000002), (2, 3)))
(u'132230', ((540.24500000000012, 540.62300000000005), (2, 5)))
(u'132231', ((540.32545454545459, 540.59454545454548), (4, 4)))
(u'132233', ((540.38, 540.5), (0, 0)))
(u'132235', ((540.36749999999995, 540.56500000000005), (2, 1)))
(u'132236', ((540.2600000000001, 544.88166666666655), (3, 2)))
(u'132237', ((540.36666666666656, 540.59777777777765), (3, 3)))
(u'132238', ((540.41999999999996, 540.63999999999999), (0, 0)))
(u'132240', ((540.30999999999995, 540.63), (0, 0)))
(u'132242', ((540.41499999999996, 540.70499999999993), (1, 2)))
(u'132243', ((540.22000000000003, 540.67857142857144), (2, 4)))
(u'132244', ((540.48000000000002, 540.63999999999999), (0, 0)))
(u'132246', ((540.32090909090903, 540.70999999999992), (5, 4)))
(u'132247', ((540.14400000000001, 540.702), (2, 4)))
(u'132248', ((540.36750000000006, 540.72000000000003), (2, 2)))
(u'132249', ((537.69999999999993, 540.88222222222225), (2, 1)))
(u'132250', ((540.32799999999997, 540.69799999999998), (1, 3)))
(u'132251', ((540.32624999999996, 540.73624999999993), (4, 2)))
(u'132253', ((540.49000000000001, 540.73000000000002), (0, 0)))
(u'132255', ((540.56500000000005, 540.68499999999995), (1, 1)))
(u'132256', ((539.97000000000003, 540.84500000000003), (1, 3)))
(u'132257', ((540.34000000000003, 540.75), (0, 0)))
(u'132258', ((540.32888888888886, 540.62666666666678), (6, 3)))
(u'132259', ((540.42666666666662, 540.57000000000005), (1, 0)))
(u'132300', ((540.18999999999994, 541.05333333333328), (4, 2)))
(u'132302', ((540.40818181818167, 540.64863636363623), (12, 8)))
(u'132303', ((540.40975609756083, 540.89292682926828), (18, 22)))
(u'132304', ((540.41499999999996, 540.75), (1, 0)))
(u'132305', ((540.46461538461529, 540.85307692307697), (6, 4)))
(u'132306', ((540.54047619047617, 541.03285714285721), (10, 8)))
(u'132307', ((540.50636363636374, 541.08545454545458), (4, 3)))
(u'132308', ((540.61000000000001, 540.76999999999998), (1, 1)))
(u'132309', ((540.38999999999999, 540.95000000000005), (2, 2)))
(u'132310', ((540.63142857142861, 540.87428571428575), (1, 2)))
(u'132311', ((540.27999999999986, 541.00333333333333), (2, 1)))
(u'132312', ((540.40249999999992, 540.79250000000002), (2, 2)))
(u'132313', ((540.29112903225803, 541.59290322580637), (24, 4)))
(u'132314', ((540.19666666666672, 545.0766666666666), (4, 2)))
(u'132315', ((540.36166666666668, 540.74999999999989), (2, 2)))
(u'132316', ((536.67949999999996, 544.63999999999999), (6, 5)))
(u'132318', ((540.45000000000005, 540.78999999999996), (1, 1)))
(u'132319', ((540.32500000000005, 540.66999999999996), (1, 0)))
(u'132320', ((540.34500000000003, 540.66999999999996), (1, 0)))
(u'132321', ((525.17083333333335, 465.56749999999988), (2, 6)))
(u'132322', ((540.04750000000001, 495.51999999999998), (18, 8)))
(u'132323', ((539.74909090909068, 481.60309090909089), (20, 11)))
(u'132324', ((539.06388888888898, 510.64999999999992), (7, 2)))
(u'132325', ((539.44352941176487, 413.28999999999991), (16, 8)))
(u'132326', ((539.60071428571439, 386.10999999999996), (7, 6)))
(u'132327', ((540.06624999999985, 540.39499999999998), (6, 3)))
(u'132328', ((539.71909090909105, 540.97727272727275), (4, 5)))
(u'132329', ((507.12030303030298, 540.95212121212114), (4, 13)))
(u'132330', ((539.65791666666678, 540.59874999999977), (9, 12)))
(u'132331', ((539.57600000000002, 540.43000000000006), (10, 4)))
(u'132332', ((540.03999999999996, 540.30999999999995), (0, 0)))
(u'132333', ((539.8280851063829, 517.53361702127654), (15, 3)))
(u'132334', ((539.85076923076917, 540.45538461538467), (6, 5)))
(u'132335', ((539.92416666666679, 540.5675), (3, 6)))
(u'132336', ((540.06500000000005, 540.58500000000004), (1, 1)))
(u'132337', ((539.68642857142868, 540.75285714285712), (6, 7)))
(u'132338', ((540.22000000000003, 540.35000000000002), (0, 0)))
(u'132339', ((540.08750000000009, 540.70000000000005), (1, 2)))
(u'132340', ((540.04333333333341, 540.81666666666672), (2, 2)))
(u'132341', ((540.08857142857153, 540.63999999999999), (2, 4)))
(u'132343', ((539.61599999999999, 540.4799999999999), (2, 2)))
(u'132344', ((538.25999999999999, 540.35000000000002), (0, 0)))
(u'132345', ((540.22000000000003, 540.35000000000002), (0, 0)))
(u'132346', ((540.22000000000003, 540.35000000000002), (0, 0)))
(u'132347', ((539.38999999999999, 540.38333333333333), (1, 2)))
(u'132349', ((540.09000000000003, 540.59500000000003), (0, 2)))
(u'132350', ((540.13333333333333, 540.52333333333343), (1, 1)))
(u'132351', ((539.91571428571444, 540.36428571428564), (2, 2)))
(u'132353', ((539.94333333333338, 540.65333333333331), (1, 1)))
(u'132355', ((539.73000000000002, 540.34750000000008), (2, 1)))
(u'132356', ((540.16666666666663, 540.40999999999997), (1, 5)))
(u'132357', ((540.15625000000011, 540.47250000000008), (2, 3)))
(u'132358', ((540.22000000000003, 540.34000000000003), (0, 0)))
(u'132359', ((540.21000000000004, 540.58000000000004), (0, 0)))
(u'132400', ((540.22000000000003, 540.35000000000002), (0, 0)))
(u'132402', ((539.95000000000005, 540.53500000000008), (1, 1)))
(u'132403', ((540.19187499999998, 540.53625000000011), (6, 7)))
(u'132404', ((540.1925, 540.60312500000009), (2, 6)))
(u'132405', ((540.22333333333336, 540.62666666666667), (1, 1)))
(u'132406', ((540.16599999999994, 540.7120000000001), (4, 3)))
(u'132407', ((539.995, 540.72000000000003), (1, 1)))
(u'132408', ((540.29499999999996, 540.495), (1, 1)))
(u'132410', ((540.31200000000013, 540.61900000000003), (13, 6)))
(u'132411', ((540.20999999999992, 540.71000000000004), (2, 1)))
(u'132412', ((539.95600000000024, 504.6513333333333), (8, 2)))
(u'132413', ((540.29999999999995, 540.71749999999997), (1, 2)))
(u'132414', ((540.29999999999995, 540.66999999999996), (0, 0)))
(u'132415', ((540.42666666666662, 540.63333333333333), (2, 1)))
(u'132416', ((540.42999999999995, 540.66999999999996), (0, 0)))
(u'132417', ((540.42999999999995, 540.52999999999997), (0, 0)))
(u'132419', ((540.38, 540.68333333333339), (1, 1)))
(u'132420', ((540.42999999999995, 540.71000000000004), (0, 0)))
(u'132422', ((540.42999999999995, 540.67999999999995), (0, 0)))
(u'132423', ((539.5, 541.0), (0, 0)))
(u'132425', ((540.25400000000002, 541.0440000000001), (2, 2)))
(u'132426', ((540.42999999999995, 540.52999999999997), (0, 0)))
(u'132427', ((540.2476923076922, 540.8423076923076), (7, 10)))
(u'132428', ((540.28882352941173, 542.68705882352947), (8, 2)))
(u'132429', ((540.24874999999997, 540.93624999999997), (2, 2)))
(u'132430', ((0.0, 540.70000000000005), (0, 0)))
(u'132431', ((494.76583333333332, 496.10583333333329), (1, 2)))
(u'132434', ((539.25714285714287, 541.09000000000003), (3, 1)))
(u'132435', ((538.9620000000001, 540.85000000000002), (2, 2)))
(u'132437', ((539.25, 540.66999999999996), (1, 0)))
(u'132438', ((462.73499999999996, 463.45785714285711), (4, 4)))
(u'132442', ((540.29999999999995, 540.78499999999997), (4, 3)))
(u'132443', ((540.28000000000009, 540.7166666666667), (1, 1)))
(u'132444', ((540.13590909090897, 540.6340909090909), (10, 8)))
(u'132445', ((540.30999999999995, 540.67499999999995), (1, 1)))
(u'132446', ((540.25666666666666, 540.63), (2, 0)))
(u'132447', ((540.43333333333339, 540.79666666666674), (1, 2)))
(u'132448', ((540.31125000000009, 540.73500000000001), (3, 5)))
(u'132450', ((540.15999999999997, 540.66499999999996), (2, 2)))
(u'132451', ((540.072, 540.75333333333333), (7, 9)))
(u'132452', ((539.928, 540.69899999999996), (4, 4)))
(u'132453', ((539.94666666666672, 540.74666666666678), (1, 2)))
(u'132454', ((539.63, 540.65499999999997), (2, 2)))
(u'132455', ((540.13499999999999, 540.68499999999995), (1, 1)))
(u'132456', ((540.31200000000001, 540.702), (3, 1)))
(u'132457', ((539.72000000000003, 540.62), (1, 0)))
(u'132458', ((540.39625000000001, 540.69500000000005), (4, 5)))
(u'132459', ((540.43166666666673, 540.71000000000004), (2, 3)))
(u'132500', ((540.20833333333337, 540.76999999999998), (2, 2)))
(u'132501', ((540.33633333333341, 540.8223333333334), (13, 15)))
(u'132502', ((539.52800000000002, 541.78399999999999), (3, 2)))
(u'132504', ((540.48000000000002, 541.72500000000002), (0, 1)))
(u'132505', ((540.18375000000003, 541.63250000000005), (1, 6)))
(u'132507', ((540.40800000000002, 540.75200000000007), (2, 2)))
(u'132508', ((540.34000000000003, 540.68499999999995), (1, 1)))
(u'132510', ((540.48000000000002, 541.87333333333333), (0, 1)))
(u'132511', ((540.45000000000005, 540.70000000000005), (0, 0)))
(u'132512', ((540.48000000000002, 541.73000000000002), (0, 1)))
(u'132513', ((540.00333333333333, 541.29066666666665), (8, 6)))
(u'132514', ((539.68666666666672, 541.45000000000005), (4, 4)))
(u'132515', ((540.42999999999995, 540.66999999999996), (1, 0)))
(u'132516', ((540.44499999999994, 540.745), (1, 1)))
(u'132517', ((540.39642857142871, 502.18071428571432), (9, 2)))
(u'132520', ((540.45000000000005, 540.70000000000005), (0, 0)))
(u'132521', ((539.82454545454561, 541.22636363636366), (6, 5)))
(u'132522', ((539.61838709677409, 506.19516129032269), (10, 4)))
(u'132523', ((540.39071428571435, 540.88428571428562), (8, 8)))
(u'132524', ((540.40166666666664, 540.80166666666662), (2, 2)))
(u'132525', ((540.15571428571434, 463.67999999999995), (2, 1)))
(u'132526', ((540.44000000000005, 540.87), (0, 0)))
(u'132527', ((540.00400000000002, 540.88999999999999), (4, 1)))
(u'132528', ((540.22625000000005, 473.31625000000008), (4, 2)))
(u'132529', ((540.53999999999996, 540.83500000000004), (1, 1)))
(u'132530', ((540.5, 540.79999999999995), (0, 0)))
(u'132532', ((540.30240000000003, 519.33920000000001), (11, 2)))
(u'132533', ((540.12571428571425, 541.12857142857149), (2, 4)))
(u'132535', ((539.78666666666675, 541.96000000000004), (1, 1)))
(u'132536', ((540.1066666666668, 541.00277777777774), (6, 6)))
(u'132537', ((540.42999999999995, 540.86000000000001), (0, 2)))
(u'132538', ((540.42999999999995, 540.85000000000002), (0, 0)))
(u'132539', ((540.35333333333335, 540.92666666666662), (1, 1)))
(u'132541', ((539.47166666666669, 541.3358333333332), (9, 12)))
(u'132542', ((540.29842105263162, 540.87315789473689), (7, 6)))
(u'132543', ((540.50999999999988, 540.83000000000004), (2, 2)))
(u'132544', ((538.82150000000001, 541.03300000000013), (8, 6)))
(u'132546', ((539.75666666666666, 541.58933333333334), (7, 7)))
(u'132547', ((540.67733333333331, 468.8026666666666), (4, 4)))
(u'132548', ((535.21999999999991, 541.10444444444443), (4, 3)))
(u'132550', ((540.21749999999986, 540.9758333333333), (3, 4)))
(u'132551', ((540.46499999999992, 541.05500000000006), (1, 1)))
(u'132552', ((540.61000000000001, 540.87), (1, 0)))
(u'132553', ((539.26999999999998, 541.47500000000002), (1, 1)))
(u'132555', ((540.79846153846154, 540.95999999999992), (3, 5)))
(u'132556', ((540.82000000000005, 540.89999999999998), (0, 0)))
(u'132557', ((540.61733333333325, 541.18666666666661), (2, 9)))
(u'132558', ((540.4582352941178, 541.14529411764693), (6, 7)))
(u'132559', ((540.72333333333336, 541.07333333333338), (1, 1)))
(u'132600', ((539.95769230769235, 541.33384615384614), (8, 8)))
(u'132601', ((540.57636363636368, 541.19727272727266), (4, 6)))
(u'132602', ((540.62062500000013, 541.03375000000005), (3, 4)))
(u'132603', ((540.88, 540.98333333333335), (0, 2)))
(u'132604', ((540.21285714285716, 541.35285714285703), (4, 2)))
(u'132605', ((540.50434782608704, 541.24173913043455), (8, 8)))
(u'132606', ((540.03857142857146, 541.56571428571431), (5, 3)))
(u'132607', ((540.92214285714283, 541.37285714285713), (6, 5)))
(u'132608', ((540.96500000000003, 541.55000000000007), (2, 2)))
(u'132609', ((540.70764705882345, 541.27999999999986), (8, 8)))
(u'132610', ((540.75250000000005, 541.4212500000001), (3, 4)))
(u'132611', ((540.85333333333335, 541.14166666666654), (6, 4)))
(u'132612', ((540.76499999999999, 541.56500000000005), (2, 4)))
(u'132613', ((540.97000000000003, 542.06500000000005), (0, 1)))
(u'132614', ((540.82021739130425, 506.1789130434783), (12, 5)))
(u'132615', ((540.81240740740725, 521.82000000000005), (22, 4)))
(u'132616', ((540.81333333333339, 541.25999999999999), (2, 2)))
(u'132617', ((540.71884615384613, 520.90423076923082), (10, 2)))
(u'132618', ((540.83538461538467, 541.96692307692308), (4, 5)))
(u'132619', ((540.82000000000005, 541.92866666666657), (5, 13)))
(u'132620', ((540.89719999999988, 541.56880000000001), (11, 12)))
(u'132621', ((540.64124999999979, 541.65583333333348), (10, 8)))
(u'132622', ((540.74142857142863, 541.37071428571414), (9, 7)))
(u'132623', ((540.62482758620672, 541.56517241379311), (12, 11)))
(u'132624', ((540.4853333333333, 541.68333333333328), (2, 4)))
(u'132625', ((540.16904761904766, 502.99119047619041), (10, 5)))
(u'132626', ((541.02999999999997, 541.33000000000004), (1, 2)))
(u'132627', ((541.06799999999998, 541.44100000000003), (1, 2)))
(u'132628', ((540.61000000000001, 541.66999999999996), (0, 0)))
(u'132629', ((541.02818181818191, 541.45727272727277), (6, 2)))
(u'132630', ((540.75333333333333, 541.45666666666659), (2, 1)))
(u'132631', ((540.84799999999984, 541.65300000000002), (2, 6)))
(u'132632', ((541.08000000000004, 541.36000000000001), (0, 0)))
(u'132633', ((540.60166666666657, 541.36000000000001), (1, 2)))
